Mã Sản Phẩm,Mã Chi Nhánh,Chi Nhánh,Khu Vực,Tên Sản Phẩm,Tồn Kho Hiện Tại,Trung Bình daily_demand,Forecast Demand 30d,Tồn Kho An Toàn,Điểm Đặt Hàng Lại,Eoq,Expected Stock After 30d,Action,Priority,Quantity Needed,Unit
10.L1.3060.4545.6,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4545 Loại 1,406,0.13533333333333336,4.060000000000001,0.17668606978465795,1.1240194031179915,44.45072177891679,401.94,SURPLUS,LOW,0.0,Viên
10.L1.3060.4546.4,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4546 Loại 1,1336,0.4453333333333333,13.360000000000003,0.581410318306165,3.6987436516394983,80.6341532271944,1322.64,SURPLUS,LOW,0.0,Viên
10.L1.3060.4546.6,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4546 Loại 1,1213,0.4043333333333334,12.130000000000003,0.5278822725339657,3.3582156058672994,76.83271872494599,1200.87,SURPLUS,LOW,0.0,Viên
10.L1.3060.4547.4,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4547 Loại 1,3136,1.0453333333333332,31.35999999999999,1.3647475735090815,8.682080906842414,123.53892773804807,3104.64,SURPLUS,LOW,0.0,Viên
10.L1.3060.4547.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4547 Loại 1,3119,1.0396666666666667,31.189999999999994,1.3573493883210543,8.635016054987721,123.20362548778074,3087.81,SURPLUS,LOW,0.0,Viên
10.L1.3060.4548.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4548 Loại 1,404,0.13466666666666666,4.039999999999999,0.17581569505665468,1.1184823617233213,44.34110207621517,399.96,SURPLUS,LOW,0.0,Viên
10.L1.3060.4549.4,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4549 Loại 1,672,0.224,6.7200000000000015,0.2924459086090889,1.860445908609089,57.187411202116856,665.28,SURPLUS,LOW,0.0,Viên
10.L1.3060.4549.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4549 Loại 1,528,0.17600000000000002,5.280000000000001,0.22977892819285564,1.461778928192856,50.691222119810845,522.72,SURPLUS,LOW,0.0,Viên
10.L1.3060.4554.3,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4554 Loại 1,2853,0.9510000000000001,28.530000000000005,1.2415895494966231,7.898589549496624,117.8329325782907,2824.47,SURPLUS,LOW,0.0,Viên
10.L1.3060.4554.4,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4554 Loại 1,1420,0.4733333333333334,14.199999999999998,0.6179660568823012,3.9312993902156346,83.1304196228232,1405.8,SURPLUS,LOW,0.0,Viên
10.L1.3060.4554.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4554 Loại 1,3048,1.016,30.47999999999999,1.3264510854769391,8.43845108547694,121.79326746581685,3017.52,SURPLUS,LOW,0.0,Viên
10.L1.3060.4555.3,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4555 Loại 1,161,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,158.0,SURPLUS,LOW,0.0,Viên
10.L1.3060.4555.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4555 Loại 1,292,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,289.0,SURPLUS,LOW,0.0,Viên
10.L1.3060.4556.3,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4556 Loại 1,750,0.25,7.5,0.32639052300121535,2.076390523001215,60.41522986797286,742.5,SURPLUS,LOW,0.0,Viên
10.L1.3060.4556.4,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4556 Loại 1,246,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,243.0,SURPLUS,LOW,0.0,Viên
10.L1.3060.4556.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4556 Loại 1,495,0.165,4.95,0.21541774518080214,1.3704177451808022,49.08156476723211,490.05,SURPLUS,LOW,0.0,Viên
10.L1.3060.4571.2,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4571 Loại 1,4026,1.3419999999999999,40.25999999999999,1.7520643274705237,11.146064327470523,139.9757121789348,3985.74,SURPLUS,LOW,0.0,Viên
10.L1.3060.4571.3,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4571 Loại 1,1269,0.423,12.69,0.5522527649180563,3.513252764918056,78.58625834075573,1256.31,SURPLUS,LOW,0.0,Viên
10.L1.3060.4571.4,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4571 Loại 1,2103,0.7010000000000001,21.030000000000005,0.9151990264954079,5.822199026495408,101.16619988909339,2081.97,SURPLUS,LOW,0.0,Viên
10.L1.3060.4571.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4571 Loại 1,336,0.112,3.3600000000000008,0.14622295430454446,0.9302229543045445,40.43760625952036,332.64,SURPLUS,LOW,0.0,Viên
10.L1.3060.4571.7,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4571 Loại 1,1251,0.417,12.509999999999998,0.5444193923660271,3.4634193923660272,78.02691843203856,1238.49,SURPLUS,LOW,0.0,Viên
10.L1.3060.4571.9,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4571 Loại 1,1671,0.557,16.71,0.7271980852467078,4.626198085246708,90.17871145675126,1654.29,SURPLUS,LOW,0.0,Viên
10.L1.3060.4572.3,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4572 Loại 1,266,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,263.0,SURPLUS,LOW,0.0,Viên
10.L1.3060.4572.4,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4572 Loại 1,382,0.12733333333333335,3.8200000000000016,0.16624157304861906,1.0575749063819526,43.116895373700864,378.18,SURPLUS,LOW,0.0,Viên
10.L1.3060.4572.7,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4572 Loại 1,368,0.12266666666666667,3.679999999999999,0.16014894995259632,1.018815616619263,42.31942028588451,364.32,SURPLUS,LOW,0.0,Viên
10.L1.3060.4572.9,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4572 Loại 1,408,20.0,600.0,55.390308511003965,195.39030851100398,540.3702434442519,-192.0,RESTOCK,MEDIUM,540.3702434442519,Viên
10.L1.3060.4573.3,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4573 Loại 1,1340,0.44666666666666666,13.400000000000002,0.5831510677621713,3.709817734428838,80.7547728207648,1326.6,SURPLUS,LOW,0.0,Viên
10.L1.3060.4573.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4573 Loại 1,625,0.20833333333333334,6.249999999999998,0.2719921025010128,1.7303254358343463,55.15130702591433,618.75,SURPLUS,LOW,0.0,Viên
10.L1.3060.4573.6,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4573 Loại 1,1620,0.5399999999999999,16.199999999999992,0.705003529682625,4.485003529682625,88.79189152169245,1603.8,SURPLUS,LOW,0.0,Viên
10.L1.3060.4573.8,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4573 Loại 1,1526,90.0,2700.0,338.4963297894687,968.4963297894687,1146.298390472568,-1174.0,RESTOCK,MEDIUM,1146.298390472568,Viên
10.L1.3060.4601.6,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4601 Loại 1,2331,0.7769999999999999,23.310000000000002,1.014421745487777,6.453421745487776,106.50915453612426,2307.69,SURPLUS,LOW,0.0,Viên
10.L1.3060.4601.8,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4601 Loại 1,2611,0.8703333333333333,26.110000000000007,1.136274207408231,7.228607540741565,112.72473848568762,2584.89,SURPLUS,LOW,0.0,Viên
10.L1.3060.4602.4,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4602 Loại 1,812,0.2706666666666667,8.120000000000003,0.3533721395693159,2.248038806235983,62.86281359701723,803.88,SURPLUS,LOW,0.0,Viên
10.L1.3060.4603.8,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4603 Loại 1,922,0.30733333333333335,9.220000000000002,0.40124274960949413,2.552576082942828,66.98557058551242,912.78,SURPLUS,LOW,0.0,Viên
10.L1.3060.4621.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4621 Loại 1,2593,0.8643333333333333,25.930000000000007,1.1284408348562018,7.178774168189534,112.3355093755606,2567.07,SURPLUS,LOW,0.0,Viên
10.L1.3060.4621.6,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4621 Loại 1,3061,1.0203333333333333,30.61,1.3321085212089603,8.474441854542293,122.05272084909319,3030.39,SURPLUS,LOW,0.0,Viên
10.L1.3060.4621.7,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4621 Loại 1,3978,280.5,8415.0,1689.404409585621,3652.9044095856207,2023.6847580589226,-4437.0,RESTOCK,MEDIUM,2023.6847580589226,Viên
10.L1.3060.4622.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4622 Loại 1,204,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,201.0,SURPLUS,LOW,0.0,Viên
10.L1.3060.4622.7,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4622 Loại 1,410,0.13666666666666666,4.1,0.1784268192406644,1.135093485907331,44.66915415959131,405.9,SURPLUS,LOW,0.0,Viên
10.L1.3060.4623.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4623 Loại 1,312,0.10400000000000001,3.120000000000001,0.1357784575685056,0.8637784575685057,38.966652409464174,308.88,SURPLUS,LOW,0.0,Viên
10.L1.3060.4623.6,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4623 Loại 1,500,0.16666666666666666,5.000000000000002,0.21759368200081022,1.3842603486674767,49.32882862316247,495.0,SURPLUS,LOW,0.0,Viên
10.L1.3060.4623.7,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4623 Loại 1,848,0.2826666666666667,8.480000000000002,0.36903888467337415,2.347705551340041,64.2412121097768,839.52,SURPLUS,LOW,0.0,Viên
10.L1.3060.4624.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4624 Loại 1,1849,0.6163333333333334,18.490000000000002,0.8046614360389963,5.11899476937233,94.86024808457265,1830.51,SURPLUS,LOW,0.0,Viên
10.L1.3060.4624.6,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4624 Loại 1,4827,1.6090000000000002,48.27000000000002,2.100649406035822,13.363649406035824,153.26904449366157,4778.73,SURPLUS,LOW,0.0,Viên
10.L1.3060.4624.7,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4624 Loại 1,2977,0.9923333333333333,29.770000000000007,1.295552782632824,8.241886115966157,120.36638511921285,2947.23,SURPLUS,LOW,0.0,Viên
10.L1.3060.4625.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4625 Loại 1,236,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,233.0,SURPLUS,LOW,0.0,Viên
10.L1.3060.4625.7,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4625 Loại 1,320,0.10666666666666667,3.199999999999999,0.13925995648051856,0.8859266231471853,39.463062898529984,316.8,SURPLUS,LOW,0.0,Viên
10.L1.3060.4626.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4626 Loại 1,182,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,179.0,SURPLUS,LOW,0.0,Viên
10.L1.3060.4626.6,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4626 Loại 1,800,0.26666666666666666,8.0,0.3481498912012964,2.2148165578679633,62.39658110292048,792.0,SURPLUS,LOW,0.0,Viên
10.L1.3060.4626.7,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4626 Loại 1,1080,0.36000000000000004,10.799999999999997,0.47000235312175015,2.9900023531217506,72.49827584156743,1069.2,SURPLUS,LOW,0.0,Viên
10.L1.3060.4631.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4631 Loại 1,1494,0.498,14.939999999999996,0.650169921818421,4.1361699218184205,85.26898615557711,1479.06,SURPLUS,LOW,0.0,Viên
10.L1.3060.4631.6,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4631 Loại 1,2848,0.9493333333333334,28.47999999999999,1.239413612676615,7.884746946009948,117.7296337659583,2819.52,SURPLUS,LOW,0.0,Viên
10.L1.3060.4631.7,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4631 Loại 1,2235,120.0,3600.0,301.50665010511113,1141.506650105111,1323.6313686219437,-1365.0,RESTOCK,MEDIUM,1323.6313686219437,Viên
10.L1.3060.4632.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4632 Loại 1,276,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,273.0,SURPLUS,LOW,0.0,Viên
10.L1.3060.4632.7,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4632 Loại 1,624,0.20800000000000002,6.240000000000002,0.2715569151370112,1.7275569151370114,55.10716831774248,617.76,SURPLUS,LOW,0.0,Viên
10.L1.3060.4633.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4633 Loại 1,573,0.191,5.729999999999999,0.24936235957292852,1.5863623595729286,52.80719647926786,567.27,SURPLUS,LOW,0.0,Viên
10.L1.3060.4633.6,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4633 Loại 1,747,0.249,7.469999999999998,0.3250849609092105,2.0680849609092102,60.29427833551041,739.53,SURPLUS,LOW,0.0,Viên
10.L1.3060.4718.4,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4718 Loại 1,14,0.1,3.000000000000001,0.13055620920048613,0.8305562092004862,38.2099463490856,11.0,OK,LOW,0.0,Viên
10.L1.3060.4719.8,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 4719 Loại 1,9450,3.15,94.50000000000003,4.112520589815313,26.162520589815315,214.4527920079382,9355.5,SURPLUS,LOW,0.0,Viên
10.L1.3060.5052.5,1,Chi nhánh Đà Nẵng UN,MIỀN TRUNG,Gạch 30x60 MS 5052 Loại 1,1834,0.6113333333333333,18.34,0.7981336255789718,5.0774669589123045,94.4746879680831,1815.66,SURPLUS,LOW,0.0,Viên
