product_code,product_name,category,f_sku,spec_code_size,unit
29.L1.8080.FPU8002.3,Gạch 80x80 MS FPU8002 loại 1,F_Solo,Solo8080.GraniteBóng,8080,Viên
36.L1.3060.USC3604.1,Gạch 30x60 MS USC3604 Loại 1,F_Bộ,USC3604-USC3604D-USC3604V,3060,Viên
36.L1.3060.USC3604V.1,Gạch 30x60 MS USC3604V Loại 1,F_Bộ,USC3604-USC3604D-USC3604V,3060,Viên
20.L1.6060.16902.6,Gạch 60x60 MS 16902 Loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
10.L1.5050.A5322.5,Gạch 50x50 MS A5322 Loại 1 6 viên,F_Solo,Solo5050.CeramicMatt/ Sugar,5050U,Viên
29.L1.4060.FXK46258.01,Gạch 40x60 MS FXK46258 Loại 1,F_Solo,Solo4060.CeramicMatt/ Sugar,4060,Viên
10.L1.6060.74006.5,Gạch 60x60 MS 74006 loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
36.L1.3060.USC3604D.1,Gạch 30x60 MS USC3604D Loại 1,F_Bộ,USC3604-USC3604D-USC3604V,3060,Viên
10.L1.6060.74007.5,Gạch 60x60 MS 74007 loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
10.L1.5050.5321.7,Gạch 50x50 MS 5321 Loại 1,F_Solo,Solo5050.CeramicMatt/ Sugar,5050,Viên
20.L1.5050.91502.5,Gạch 50x50 MS 91502 loại 1,F_Solo,Solo5050.CeramicMatt/ Sugar,5050U,Viên
29.L1.4060.FXK46255.01,Gạch 40x60 MS FXK46255 Loại 1,F_Solo,Solo4060.CeramicMatt/ Sugar,4060,Viên
36.L1.3060.USC3604.3,Gạch 30x60 MS USC3604 Loại 1,F_Bộ,USC3604-USC3604D-USC3604V,3060,Viên
10.L1.5050.5319.4,Gạch 50x50 MS 5319 Loại 1,F_Solo,Solo5050.CeramicMatt/ Sugar,5050,Viên
10.L1.5050.5315.3,Gạch 50x50 MS 5315 Loại 1,F_Solo,Solo5050.CeramicMatt/ Sugar,5050,Viên
10.L1.3060.4624.5,Gạch 30x60 MS 4624 Loại 1,F_Bộ,4624-4625-4626,3060,Viên
10.L1.3060.4625.5,Gạch 30x60 MS 4625 Loại 1,F_Bộ,4624-4625-4626,3060,Viên
10.L1.3060.4626.5,Gạch 30x60 MS 4626 Loại 1,F_Bộ,4624-4625-4626,3060,Viên
36.L1.3060.USC3647D.1,Gạch 30x60 MS USC3647D Loại 1,F_Bộ,USC3647-USC3647D-USC3648,3060,Viên
10.L1.6060.5725.6,Gạch 60x60 MS 5725 Loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
10.L1.3060.4621.5,Gạch 30x60 MS 4621 Loại 1,F_Bộ,4621-4622-4623,3060,Viên
10.L1.3060.4622.5,Gạch 30x60 MS 4622 Loại 1,F_Bộ,4621-4622-4623,3060,Viên
10.L1.3060.4623.5,Gạch 30x60 MS 4623 Loại 1,F_Bộ,4621-4622-4623,3060,Viên
10.L1.5050.5321.4,Gạch 50x50 MS 5321 Loại 1,F_Solo,Solo5050.CeramicMatt/ Sugar,5050,Viên
10.L1.3060.4573.3,Gạch 30x60 MS 4573 Loại 1,F_Bộ,4571-4572-4573,3060,Viên
36.L1.3060.USC3651D.1,Gạch 30x60 MS USC3651D Loại 1,F_Bộ,USC3651-USC3651D-USC3652,3060,Viên
36.L1.3060.USC3652.1,Gạch 30x60 MS USC3652 Loại 1,F_Bộ,USC3651-USC3651D-USC3652,3060,Viên
20.L1.5050.91508.5,Gạch 50x50 MS 91508 loại 1,F_Solo,Solo5050.CeramicMatt/ Sugar,5050U,Viên
36.L1.3060.USC3638.1,Gạch 30x60 MS USC3638 Loại 1,F_Bộ,USC3637-USC3637D-USC3638,3060,Viên
14.L1.6060.66383026.2,Gạch 60x60 MS 66383026 loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
36.L1.3060.USC3637.1,Gạch 30x60 MS USC3637 Loại 1,F_Bộ,USC3637-USC3637D-USC3638,3060,Viên
10.L1.6060.74003.5,Gạch 60x60 MS 74003 loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
20.L1.6060.16905.5,Gạch 60x60 MS 16905 Loại 1,F_Solo,Solo6060.GraniteBóng,6060,Viên
36.L1.3060.USC3633.1,Gạch 30x60 MS USC3633 Loại 1,F_Bộ,USC3633-USC3633D-USC3634,3060,Viên
36.L1.3060.USC3633D.1,Gạch 30x60 MS USC3633D Loại 1,F_Bộ,USC3633-USC3633D-USC3634,3060,Viên
20.L1.8080.91855.5,Gạch 80x80 MS 91855 loại 1,F_Solo,Solo8080.GraniteBóng,8080,Viên
36.L1.3060.USC3636.1,Gạch 30x60 MS USC3636 Loại 1,F_Bộ,USC3635-USC3635D-USC3636,3060,Viên
36.L1.3060.USC3637D.1,Gạch 30x60 MS USC3637D Loại 1,F_Bộ,USC3637-USC3637D-USC3638,3060,Viên
36.L1.3060.USC3635D.1,Gạch 30x60 MS USC3635D Loại 1,F_Bộ,USC3635-USC3635D-USC3636,3060,Viên
20.L1.8080.91857.5,Gạch 80x80 MS 91857 loại 1,F_Solo,Solo8080.GraniteBóng,8080,Viên
